state	ident	;	[	]	void	bool	int	float	(	)	,	{	}	if	else	for	while	return	break	=	+	-	*	/	%	!	bool_lit	int_lit	float_lit	$
0	error	error	error	error	s6	s7	s8	s9	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error
1	error	error	error	error	s6	s7	s8	s9	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	acc
2	error	error	error	error	r2	r2	r2	r2	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	r2
3	error	error	error	error	r3	r3	r3	r3	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	r3
4	error	error	error	error	r4	r4	r4	r4	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	r4
5	s11	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error
6	r7	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error
7	r8	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error
8	r9	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error
9	r10	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error
10	error	error	error	error	r1	r1	r1	r1	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	r1
11	error	s12	s13	error	error	error	error	error	s14	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error
12	error	error	error	error	r5	r5	r5	r5	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	r5
13	error	error	error	s15	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error
14	error	error	error	error	s18	s7	s8	s9	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error
15	error	s21	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error
16	error	error	error	error	error	error	error	error	error	s22	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error
17	error	error	error	error	error	error	error	error	error	r12	s23	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error
18	r7	error	error	error	error	error	error	error	error	r13	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error
